id,total_time,RA1_1_inc,RA1_1_loa,RA1_1_exp,RA1_1_cost,RA1_2_inc,RA1_2_loa,RA1_2_exp,RA1_2_cost,RA1_4_inc,RA1_4_loa,RA1_4_exp,RA1_4_cost,RA1_5_inc,RA1_5_loa,RA1_5_exp,RA1_5_cost,RA1_6_inc,RA1_6_loa,RA1_6_exp,RA1_6_cost,RA2_2_inc,RA2_2_loa,RA2_2_exp,RA2_2_cost,RA3_1_inc,RA3_1_loa,RA3_1_exp,RA3_1_cost,RA3_2_inc,RA3_2_loa,RA3_2_exp,RA3_2_cost,RA3_3_inc,RA3_3_loa,RA3_3_exp,RA3_3_cost,NW1_1_inc,NW1_1_loa,NW1_1_exp,NW1_1_cost,NW2_2_inc,NW2_2_loa,NW2_2_exp,NW2_2_cost,NW2_3_inc,NW2_3_loa,NW2_3_exp,NW2_3_cost,NW2_4_inc,NW2_4_loa,NW2_4_exp,NW2_4_cost,NW3_1_inc,NW3_1_loa,NW3_1_exp,NW3_1_cost,RR1_1_inc,RR1_1_loa,RR1_1_exp,RR1_1_cost,engineer_id,,,
250,2220,0,0,,-3,0,2,"program includes a well-defined process for selecting suppliers and/or manufacturers of materials, supplies, and equipment, including selection criteria focused on environmental practices and social responsibility.",-3,0,0,,-3,0,0,,-3,0,0,,-3,0,0,,-3,0,9,I think this is do able for a team of this size and for this project,-3,0,13,the project directly addresses this credit. The team should be able to address this,-3,0,3,The team could get points here but doesn’t seem that critical,-3,0,0,no high ecological value,-3,0,4,in addition to reclaimed water could include stormwater,-3,0,1,,-3,0,4,This reclaimed water will provide irrigation to the facility and help replenish ground aquifers that are receding at an unprecedented rate. As you make,-3,0,0,,-3,0,0,,-3,346,,,
251,1167,0,10,the project  will provide irrigation to the facility and help replenish ground aquifers that are receding ,-3,0,4,"provide a process for selecting suppliers and/or manufacturers of materials, supplies, and equipment, including selection criteria focused on environmental practices and social responsibility.",-3,0,4,The project team can collect recyclables. For any appropriate spaces waste recycling bins are provided.,-3,0,0,,-3,0,6,make contractor utilize all cut material in other areas of the site plan. ,-3,0,8,use natural topo to reduce excavation equipment,-3,0,22,the reclamaition project appears to directly relate to this credit. The team should prioritize this credit above others. ,-3,0,17,the project reduces potable water by using reclaimed water ,-3,0,5,Use water supplied by near by reservoir ,-3,0,0,,-3,0,9,include BMPs into the design,-3,0,5,Procedures should be put in place to encourage and document use of pesticides and fertilized with low risk,-3,0,14,All storm water runoff from the site will be contained. This detention will allow for filtration of pollutants prior to it making it's way to other surface waters. As the water infiltrates it will be filtered through the soil prior to reaching groundwater. ,-3,0,9,"Mitigation measures should ensure that existing habitat functions as defined in criteria C, D, and E are not degraded or lost. Mitigation measures must maintain net habitat quality and quantity and follow a hierarchy that prioritizes avoidance, minimization, restoration, and compensation.",-3,0,0,,-3,347,,,
252,2607,0,5,,-3,0,4,,-3,0,4,,-3,0,11,"During construction have the contractor move 50% of waste materials to a recycled, reused, and/or salvaged bin",-3,0,8,the site already includes some depreciations so balancing this site should be possible,-3,0,4,require energy efficicent equipment,-3,0,9,an approved ESC plan would protect water resources,-3,0,0,,-3,0,0,,-3,0,24,maybe some ecological value to conserve,-3,0,2,include both reclaimed and storm water,-3,0,5,hmmmmm hmmmmmm,-3,0,9,strategies and best management practices will be implemented to minimize risk to downstream groundwater,-3,0,9,,-3,0,5,yes its important ……………………………..,-3,348,,,
253,1224,0,5,should be able to reduce energy use of materials,-3,0,7,"include at least half all project materials, supplies, and equipment meet, or come from manufacturers and/or suppliers that meet, disclosure requirements on social and environmental impacts.",-3,0,7,reduce 50% waste by establishing a recycling center. These are very common now on most projects. ,-3,0,7,change means and methods to reduce the amount of construction waste. Buy resuable form work. ,-3,0,8,use the dirt from the detention areas to build up the trails and walking paths,-3,0,4,limit the excavation and hauling of materials,-3,0,17,"Assess the projects watershed context and the watershed-scale fresh water issues, including location, type, quantity, rate of recharge, and quality of water resources as well as source and impacts of treated water and the destination and impacts of wastewater",-3,0,0,,-3,0,5,,-3,1,0,,-3,0,9,captures more than 2 inches in a 24 hour period,-3,0,12,"Reduce non-point-source pollution by reducing the quantity, toxicity, bioavailability, and persistence of pesticides and fertilizers.",-3,0,18,"perform an environmental risk assessment has determined potential impacts to surface or groundwater quality, including temperature during construction and operations.",-3,0,18,project team should identified existing terrestrial habitats,-3,0,8,At Least 25% Reduction</b> <p><b>(A)</b> The project team determines the estimated annual greenhouse gas emissions of the project.,-3,349,,,
254,1340,0,5,use concrete with fly ash and other recycled materials,-3,0,0,,-3,0,4,divert waste through means and methods. ,-3,0,1,purchase extra recycling bins during construction,-3,0,0,,-3,0,4,design the schedule so that equipment on the jobsite is limited and work is done quickly,-3,0,9,"Assess the watershed context and the watershed-scale fresh water issues, including location, type, quantity, rate of recharge, and quality of water resources as well as source and impacts of treated water and the destination and impacts of wastewater",-3,0,9,very much related to this project ,-3,0,1,consumption points could be consdered. ,-3,0,3,maybe not the most high ecologicla value. The project could prioritize areas that do have hig vlaue,-3,0,9,exceeds local standards for rainfall collection,-3,0,5,"Efforts made to reduce the quantity, toxicity, bioavailability, and persistence of pesticides and fertilizers used on site, including the selection of plant species and the use of integrated pest management techniques",-3,0,14,project should avoid creating new direct pathways for groundwater contamination by means listed in the Improved level.,-3,0,9,Documentation should identify new impacts or barriers that will result from development and the specific actions that will be taken to minimize or to mitigate them.,-3,0,0,,-3,350,,,
255,1709,1,15,The team determines which materials are the primary contributors to overall material intensity (collectively >80%),-3,0,7,"includes commitments to identify and select manufacturers and/or suppliers that implement sustainable practices. Program documentation includes a well-defined process for selecting suppliers and/or manufacturers of materials, supplies, and equipment, including selection criteria focused on environmental practices and social responsibility.",-3,0,10,"reuse formwork, reuse, scaffolding, reuse existing materials on sight. This can be done through value engineering. ",-3,0,1,require a plan in place by the constractor,-3,0,8,cost of trucking dirt around the site is low. Use the excesses to build burms,-3,0,8,Identify Reduction Opportunities</b> <p><b>(A)</b> The project team conducts one or more planning reviews to identify and analyze options for reducing energy consumption during construction.,-3,0,9,assess negative effects to the water,-3,0,17,This is a reclaimed project for the purpose of reducing potable water. Not sure by how much by should easily be able to meet this amount,-3,0,5,the reclaimed water can be used here for the project,-3,0,7,project improves the environment,-3,0,7,create collection points for all storm-water run off areas and filter it.......................................,-3,0,9,reduce non-point-source pollution ,-3,0,18,"Perform an environmental risk assessment has determined potential impacts to surface or groundwater quality, including temperature during construction and operations.",-3,0,9,Project team shoul identify the species that will benefit from the new habitat.,-3,0,8,,-3,351,,,
256,2707,1,5,"Embodied energy of production, including raw material extraction, refinement, and manufacture.",-3,0,2,,-3,0,4,The project team can collect recyclables. For any appropriate spaces waste recycling bins are provided.,-3,0,0,,-3,0,6,Do able through design process. Probably hard to achieve once in construction phase,-3,0,0,,-3,0,9,not sure not sure not sure not sure not sure ,-3,0,9,very much related to this project ,-3,0,3,not really necessary,-3,1,0,,-3,0,4,not much rain in this region,-3,0,5,,-3,0,0,,-3,0,5,Project team shoul identify the species that will benefit from the new habitat.,-3,0,14,"Identifying any greenhouse gases that will be emitted or absorbed/sequestered by the project during operations, including direct emissions, and indirect emissions associated with off-site energy generation.",-3,352,,,
257,3012,0,0,,-3,0,4,a well defined process for selecting suppliers,-3,0,4,Reduce operational waste and divert waste streams from disposal to recycling and reuse.,-3,0,7,consider removing waste bins and having multiple recycing bins,-3,0,0,,-3,0,4,setup a process/schedule to reduce equipment on jobsite so that when its not immediately available,-3,0,2,,-3,0,9,"At Least 50% Reduction.  The project team conducts planning or design reviews to identify potable water reduction strategies during operation of the project. The team has considered using alternatives such as nonpotable water, reused water, recycled water, and stormwater.",-3,1,0,,-3,0,7,Adds to the ecological value and surrounding area,-3,0,9,not only collects but is able to filter the water,-3,0,0,,-3,0,2,"Designs, plans, and programs instituted to prevent and monitor surface and groundwater contamination during construction and operations.",-3,0,5,project design will strive to blend in with the surrounding natural areas.                               ,-3,0,5,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,-3,354,,,
258,2012,0,15,"Significnat reduction of embodied energy of production, including raw material extraction, refinement, and manufacture.",-3,0,12,polices must include specfication sheets that include sustainability as a criteria for all of the material suppliers,-3,0,16,"include a well- defined process for selecting suppliers and/or manufacturers of materials, supplies, and equipment, including selection criteria focused on environmental practices and social responsibility.",-3,0,0,,-3,0,0,,-3,0,8,"reduce pumping systems, reduce construction equipment, reduce jobsite trailers (and energy), reduce number of vehicles",-3,0,9,I think I am not exactly …………………………………………,-3,0,0,,-3,0,8,include water catchment to use on the project,-3,0,7,Signficiantly contribute to the ecgological value in the area,-3,0,17,"Minimize the impact of development on stormwater runoff quantity, rate, and quality.",-3,0,9,important but not critical to consider in the project plan,-3,0,9,"reduce risk by creating an environmental risk assessment has determined potential impacts to surface or groundwater quality, including temperature during construction and operations.",-3,0,18,the project minimize and mitigate disturbance to functional terrestrial habitats,-3,0,14,Determining the carbon dioxide equivalent (CO2e) for each gas.,-3,355,,,
259,2312,0,5,The project reduces total embodied energy for materials used in construction and operation by at least a 20%,-3,0,2,,-3,0,4,,-3,0,11,"Policies, specifications, or contract documents indicating a construction management plan will be developed and implemented",-3,0,0,,-3,0,1,setup a plan to priotize energy reduction during construction,-3,0,2,this project is about water and this credit should be prioritized to achieve. Not sure exactly how though,-3,0,17,The water is meant to clean the reclaimed water,-3,0,5,could be met,-3,0,3,somewhat provides beenfit to the surrounding buildlings and spaces,-3,0,0,,-3,0,2,"Reduce non-point-source pollution by reducing the quantity, toxicity, bioavailability, and persistence of pesticides and fertilizers.",-3,0,0,,-3,0,5,,-3,0,5,,-3,356,,,
260,1569,0,10,project reduces total embodied energy for materials used in construction and operation by at least a 40%,-3,0,4,the major compnents are sustainably sourced,-3,0,0,,-3,0,16,"Provide a general description of each type/category of construction and demolition materials generated, location of receiving agent, and quantity of waste diverted (by category) in weight (tons) or volume (cubic yards/metres)",-3,0,6,Realistically achieveable if considering during design. This is possible through looking at existing topo. Creating the water detention basins in low lying areas. ,-3,0,8,Identify Reduction Opportunities</b> <p><b>(A)</b> The project team conducts one or more planning reviews to identify and analyze options for reducing energy consumption during construction.,-3,0,17,"The project appears to be part of, or contributes to, a watershed or regional plan.",-3,0,9,"The project team conducts planning or design reviews to identify potable water reduction strategies during operation of the project. The team has considered using alternatives such as nonpotable water, reused water, recycled water, and stormwater.",-3,1,0,,-3,0,3,Provides ecologicla value,-3,0,0,,-3,0,9,New vegtation but shold be able to do this without fertilizer,-3,0,14,,-3,0,18,The team should minimize and mitigate disturbance to functional terrestrial habitats,-3,0,14,Determining the carbon dioxide equivalent (CO2e) for each gas.,-3,357,,,
261,1895,0,0,,-3,0,2,some of the vendors include lca documentations,-3,0,7,,-3,0,1,should be easy to achieve at least 1 point here. ,-3,0,0,,-3,0,4,consider reduction options but not necessarly implement all of them,-3,0,2,very important for this project very important for this project,-3,0,22,the project purifies the reclaimed water,-3,0,3,include water conservation ideas into the project contract,-3,0,0,,-3,0,17,"Minimize the impact of development on stormwater runoff quantity, rate, and quality.",-3,0,5,No Pesticide Or Fertilizer Use,-3,0,18,team informs community stakeholders of any potential risk and/or impacts to water quality and demonstrates stakeholder support for the project plans involving surface and/or groundwater,-3,0,0,,-3,0,0,,-3,358,,,
262,2004,1,5,project uses natural materials and reduces the amount of materials for the project,-3,0,4,at least half of the suppliers provide documenation of emobided energy and emissions through a lca. The project team includes a lca,-3,0,4,I think this can be accomplished through a subcontractor providing different waste bins. Also through culture of reusing materials when possible. ,-3,0,4,make recycling bins closer in proximity to waste bins. Hold weekly meetings about recylcing stream,-3,0,6,Documentation showing how the project balanced cut and fill on site and calculations of the percent of excavated materials remaining on site.,-3,0,8,limit excavation on site using natural form of the land ,-3,0,9,create a site that maintains high quality ground water resources for future generations to enjoy.                             ,-3,0,22,The purpose of the project is to purify the reclaimed water,-3,0,1,consider how to reduce water use,-3,0,0,,-3,0,24,project should create an area that will store water and help with storm-water runoff. This will reduce the amount of water running off the site and allow more water to infiltrate into underground aquifers. ,-3,0,0,,-3,0,9,The project avoids creating new direct pathways for groundwater contamination by means listed in the Improved level.,-3,0,9,Project design will strive to blend in with the surrounding natural areas.                               ,-3,0,8,potential sources of greenhouse gas emissions will be identified and strategies will be employed to reduce emissions.,-3,359,,,
263,1902,0,10,"enginering team is able to use natural materials and materials from local sources, materials that do not need a lot of mainteannce. For example, pumping and equipment with a long life ",-3,0,4,A written sustainable procurement policy/program is in place,-3,0,7,The project team can collect recyclables. For any appropriate spaces waste recycling bins are provided.,-3,0,4,think about having contractor and subs sign agreements stating they will meet recycling quota,-3,0,8,possible …………………………………………………………………………………………..,-3,0,8,"construct materials and systems off site, fast track the schedule to reduce construction time (and energy)",-3,0,9,consider water resources,-3,0,0,,-3,0,5,Use water supplied by near by reservoir ,-3,0,24,Expands habitat for birds and insects and restores the surrounding ecologicla community making for diverse species and plants,-3,0,9,project provides a place to store and clean the water,-3,0,12,necessary for sustianble project outcomes,-3,0,9,the project does not create new direct pathways for surface and/or groundwater contamination,-3,0,9,Documentation of habitat improvement efforts and the intended impact they will have on site species.,-3,0,8,At Least 25% Reduction</b> <p><b>(A)</b> The project team determines the estimated annual greenhouse gas emissions of the project.,-3,360,,,
264,1197,0,5,project team is able to select mateirals close to the job site. ,-3,0,2,meet disclousre requirements for social and enviornmental criteria,-3,0,4,This is pretty easy to do now a days. I think this is achievable with minimal effort. The higher levels of acheivement may not be so straightforward. ,-3,0,0,,-3,0,4,,-3,0,0,,-3,0,9,this project is specfically about water resources and preserving them,-3,0,0,,-3,0,3,The project team conducts one or more planning reviews to identify and analyze options for reducing water consumption during construction.,-3,0,0,,-3,0,0,,-3,0,5,runoff controlled through reclaimation facility,-3,0,4,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,-3,0,9,,-3,0,0,,-3,361,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
